name,first_funding_at,last_funding_at,relationships,funding_rounds,funding_total_usd,milestones,avg_participants,is_top500,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,company_age_days,days_to_first_funding,funding_duration_days,avg_funding_per_round,funding_efficiency,milestone_efficiency,log_funding_total,funding_intensity,relationship_density,is_successful
Bandsintown,2009-04-01,2010-01-01,3,3,375000,3,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6703,821,275,125000.0,125000.0,0.16347157988960168,12.834683971615659,0.16347157988960168,0.16347157988960168,1
TriCipher,2005-02-14,2009-12-28,9,4,40100000,1,4.75,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,9260,1871,1778,10025000.0,4455555.555555556,0.03944384449244061,17.50688691721445,0.15777537796976243,0.35499460043196546,1
Plixi,2010-03-30,2010-03-30,5,1,2600000,2,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5896,377,0,2600000.0,520000.0,0.1238975576662144,14.77102238760702,0.0619487788331072,0.309743894165536,1
Solidcore Systems,2005-02-17,2007-04-25,5,3,40000000,1,3.3333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8529,1143,797,13333333.333333334,8000000.0,0.04282448118185016,17.50439003707821,0.12847344354555046,0.21412240590925077,1
Inhale Digital,2010-08-01,2012-04-01,2,2,1300000,1,1.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,5395,0,609,650000.0,650000.0,0.06770157553290083,14.077875591662238,0.13540315106580167,0.13540315106580167,0
Matisse Networks,2006-07-18,2006-07-18,3,1,7500000,1,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8529,1659,0,7500000.0,2500000.0,0.04282448118185016,15.830413711839864,0.04282448118185016,0.12847344354555046,0
RingCube Technologies,2006-09-21,2010-03-18,6,3,26000000,2,1.6667,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,7433,628,1274,8666666.666666666,4333333.333333333,0.09827794968384233,17.073607134447293,0.1474169245257635,0.294833849051527,1
ClairMail,2005-08-24,2010-10-04,25,3,34100000,3,3.5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,7799,601,1867,11366666.666666666,1364000.0,0.14049878189511475,17.344807971579257,0.14049878189511475,1.1708231824592896,1
VoodooVox,2005-08-02,2013-02-08,13,3,9650000,4,4.0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,8529,1309,2747,3216666.6666666665,742307.6923076923,0.17129792472740063,16.082468576942105,0.12847344354555046,0.5567182553640521,1
Doostang,2007-02-01,2010-02-05,14,3,5750000,4,1.0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,7282,610,1100,1916666.6666666667,410714.28571428574,0.20063169458939853,15.564710586686562,0.1504737709420489,0.7022109310628948,1
Zong,2005-07-01,2010-04-26,22,3,27500000,3,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,8941,1689,1760,9166666.666666666,1250000.0,0.12255340565932223,17.129696599000436,0.12255340565932223,0.8987249748350297,1
Center'd,2007-02-01,2011-05-03,8,5,10400000,2,1.75,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,7068,396,1552,2080000.0,1300000.0,0.10335314091680814,16.15731646026544,0.25838285229202035,0.41341256366723256,0
Resonant Vibes,2008-11-25,2008-11-25,0,1,350000,0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7799,1790,0,350000.0,0.0,0.0,12.765691290604371,0.04683292729837159,0.0,0
drop.io,2007-12-03,2010-05-03,15,3,9950000,3,2.3333,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,6374,7,882,3316666.6666666665,663333.3333333334,0.17190931910887985,16.11308320963728,0.17190931910887985,0.8595465955443992,1
Stratavia,2005-08-31,2009-12-29,12,5,10700000,1,2.5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8894,1703,1581,2140000.0,891666.6666666666,0.04106701146840567,16.185754392890075,0.20533505734202834,0.492804137620868,1
Invicta Networks,2005-08-09,2005-08-09,0,1,200000,0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9625,2412,0,200000.0,0.0,0.0,12.206077645517674,0.037948051948051946,0.0,0
QSecure,2005-08-02,2009-10-05,8,5,49000000,1,3.5,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,8164,944,1525,9800000.0,6125000.0,0.0447390984811367,17.707330876483063,0.22369549240568348,0.3579127878490936,0
MeeVee,2005-02-01,2007-09-01,7,4,25000000,3,3.5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,9078,1676,942,6250000.0,3571428.5714285714,0.12070389953734302,17.034386422832473,0.16093853271645736,0.28164243225380037,1
SinglePlatform,2010-09-29,2011-08-01,10,3,4575000,3,5.0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5607,271,306,1525000.0,457500.0,0.19542536115569822,15.336117475270969,0.19542536115569822,0.6514178705189941,1
Bling Nation,2009-07-02,2009-10-30,13,2,28000000,3,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,6703,913,120,14000000.0,2153846.153846154,0.16347157988960168,17.147715103853763,0.10898105325973445,0.7083768461882739,0
Metreos Corporation,2003-03-20,2004-10-14,8,2,4355000,3,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8894,808,574,2177500.0,544375.0,0.123201034405217,15.286835397889838,0.08213402293681134,0.32853609174724535,1
Hidden City Games,2007-10-31,2007-10-31,3,1,15000000,1,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7799,1399,0,15000000.0,5000000.0,0.04683292729837159,16.52356082573315,0.04683292729837159,0.14049878189511475,0
Neopolitan Networks,2007-06-28,2007-06-28,1,1,3170000,1,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8529,2004,0,3170000.0,3170000.0,0.04282448118185016,14.969242461310827,0.04282448118185016,0.04282448118185016,0
Pixelpipe,2007-01-01,2011-04-25,4,2,2300000,3,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,6338,0,1575,1150000.0,575000.0,0.17288576838119282,14.648420115681892,0.1152571789207952,0.2305143578415904,0
EventVue,2007-08-01,2007-09-01,5,2,455000,0,4.5,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,6583,92,31,227500.0,91000.0,0.0,13.02805489573287,0.11096764393133829,0.2774191098283457,0
BridgePort Networks,2006-11-03,2006-11-03,3,1,13000000,1,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8529,1767,0,13000000.0,4333333.333333333,0.04282448118185016,16.380459992348886,0.04282448118185016,0.12847344354555046,1
Scalent Systems,2007-01-22,2007-01-22,7,1,15000000,1,4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8164,1482,0,15000000.0,2142857.1428571427,0.0447390984811367,16.52356082573315,0.0447390984811367,0.31317368936795686,1
IQ Engines,2012-06-25,2012-06-25,2,1,3800000,3,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6186,1485,0,3800000.0,1900000.0,0.17713385063045586,15.150511887854474,0.05904461687681862,0.11808923375363724,1
"RetailMeNot, Inc.",2009-11-01,2011-11-10,37,5,299500000,2,1.75,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,6583,915,739,59900000.0,8094594.594594595,0.11096764393133829,19.517624978858677,0.2774191098283457,2.0529014127297582,1
Mophie,2006-08-01,2006-08-01,5,1,1000000,3,2.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7290,434,0,1000000.0,200000.0,0.15030864197530863,13.815511557963774,0.05010288065843622,0.25051440329218105,1
